"title","date_created","subject","repository","format","creator","doc_type","width","height","source","language","identifier","date","description","coverage","relation","related_to","technique","contributors","tag","text","notes","audience"
"Relief Record (for use at Central Office)","2003-12-11","Milk; Assistance;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents);",13,21,"Printed ephemera of the New York Milk Committee.","English","mk1e028m002.jpg","[1911]","Blank card for recording details of welfare assistance given to infant and family.","New York. New York City.","back of mk1e028m"," mk1e028m.jpg",,,"postcard",,,
"Case History Card (Conditions Previous to Admittance) [Form H-8-29-11-5000]","2003-12-17","Health & welfare; Infants; Families;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents);",21,13,"Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics)","English","mk1e027m001.jpg","[1911]","Blank card for recording data about housing; infant health and healthcare history; nationality and economic status of parents. ""Form H-8-29-11-5000""","New York. New York City.",,,,,,,,
"Request for Relief","2003-12-17","Milk; Assistance;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents);",13,8,"Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics)","English","mk1e021m001.jpg","[1911]","Blank form for recording information about economic and social status of family seeking milk and welfare assistance.","New York. New York City.",,,,,,,,
"Eligible Baby","2003-12-17","Milk; Infants;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents);",13,8,"Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics)","English","mk1e022m001.jpg","[1911]","Blank card for recording details about infant and family to which milk assistance was delivered. ""Form L-9-11-11-5000.""","New York. New York City.",,,,,,,,
"Institutional Case","2003-12-17","Assistance; Infants; Milk","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents);",13,8,"Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics)","English","mk1e023m001.jpg","[1911]","Blank card for recording information about an infant receiving milk assistance at a healthcare facility. ""Form C. 6-1-11-2000""","New York. New York City.",,,,,,,,
"To the Wet Nurse Registry of the N.Y. Milk Committee","2003-12-17","Breast feeding; Wet-nurses;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents);",13,8,"Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics)","English","mk1e020m001.jpg","[1911]","Blank application card for woman seeking position as wet nurse at the New York Milk Committee.","New York. New York City.",,,,,,,,
"Registered Baby (front)","2003-12-11","Infants; Health & welfare;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents);",13,8,"Printed Ephemera of the New York Milk Committee.","English","mk1e024m001.jpg","[1911]","Front of blank printed card for recording information about infant/family attendance at medical consultations and home visits by nurses. ""Form M-6-28-11-5000""","New York. New York City.","front of mk1e024m"," mk1e024m.jpg",,,"postcard",,,
"Case History Card (Conditions Previous to Admittance) [Form R-7-10-11-2000]","2003-12-17","Health & welfare; Infants; Families;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents);",,,"Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics)","English","mk1e028m001.jpg","[1911]","Blank card for recording data about housing; infant health and healthcare history; nationality and economic status of parents. ""Form H-8-29-11-5000""","New York. New York City.",,,,,,,,
"Nurse's Daily Report","2003-12-17","Nurses; Nursing; Infants; Mothers; Health & welfare;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents);",16,11,"Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics)","English","mk1e026m001.jpg","[1911]","Blank form for recording data about the infants and mothers under a nurse's care, including numbers of cases;  kinds of instruction and and quantity of milk delivered. ""Form N-5-1-11-5000, 7-31-11-5000""","New York. New York City.",,,,,,,,
"Registered Baby (back)","2003-12-11","Infants; Health & welfare;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents);",13,8,"Printed Ephemera of the New York Milk Committee.","English","mk1e024m002.jpg","[1911]","Back of blank printed card for recording information about infant/family attendance at medical consultations and home visits by nurses. ""Form M-6-28-11-5000""","New York. New York City.","back of mk1e024m"," mk1e024m.jpg",,,"postcard",,,
