cdmid,child_of,object_type,title,cdmcreated,cdmmodified,format,subject,publisher,doc_type,creator,width,height,source,language,identifier,date,description,coverage,relation,related_to,technique,contributor,tag,notes,audience
3,14,1,Relief Record (for use at Central Office),12/12/07,12/12/07,JPG,Milk; Assistance;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,21,Printed ephemera of the New York Milk Committee.,English,mk1e028m002.jpg,[1911],Blank card for recording details of welfare assistance given to infant and family.,New York. New York City.,back of mk1e028m,mk1e028m,,,postcard,,
4,,0,Case History Card (Conditions Previous to Admittance) [Form H-8-29-11-5000],12/18/07,12/18/07,JPG,Health & welfare; Infants; Families;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,21,13,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e027m001.jpg,[1911],"Blank card for recording data about housing; infant health and healthcare history; nationality and economic status of parents. ""Form H-8-29-11-5000""",New York. New York City.,,,,,,,
5,,0,Request for Relief,12/18/07,12/18/07,JPG,Milk; Assistance;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,8,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e021m001.jpg,[1911],Blank form for recording information about economic and social status of family seeking milk and welfare assistance.,New York. New York City.,,,,,,,
6,,0,Eligible Baby,12/18/07,12/18/07,JPG,Milk; Infants;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,8,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e022m001.jpg,[1911],"Blank card for recording details about infant and family to which milk assistance was delivered. ""Form L-9-11-11-5000.""",New York. New York City.,,,,,,,
7,,0,Institutional Case,12/18/07,12/18/07,JPG,Assistance; Infants; Milk,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,8,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e023m001.jpg,[1911],"Blank card for recording information about an infant receiving milk assistance at a healthcare facility. ""Form C. 6-1-11-2000""",New York. New York City.,,,,,,,
8,,0,To the Wet Nurse Registry of the N.Y. Milk Committee,12/18/07,12/18/07,JPG,Breast feeding; Wet-nurses;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,8,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e020m001.jpg,[1911],Blank application card for woman seeking position as wet nurse at the New York Milk Committee.,New York. New York City.,,,,,,,
9,16,1,Registered Baby (front),12/12/07,12/12/07,JPG,Infants; Health & welfare;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,8,Printed Ephemera of the New York Milk Committee.,English,mk1e024m001.jpg,[1911],"Front of blank printed card for recording information about infant/family attendance at medical consultations and home visits by nurses. ""Form M-6-28-11-5000""",New York. New York City.,front of mk1e024m,mk1e024m,,,postcard,,
10,14,1,Case History Card (Conditions Previous to Admittance) [Form R-7-10-11-2000],12/18/07,12/18/07,JPG,Health & welfare; Infants; Families;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,,,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e028m001.jpg,[1911],"Blank card for recording data about housing; infant health and healthcare history; nationality and economic status of parents. ""Form H-8-29-11-5000""",New York. New York City.,,,,,,,
11,,0,Nurse's Daily Report,12/18/07,12/18/07,JPG,Nurses; Nursing; Infants; Mothers; Health & welfare;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,11,Printed Ephemera of the New York Milk Committee.; Blank forms (case histories and vital statistics),English,mk1e026m001.jpg,[1911],"Blank form for recording data about the infants and mothers under a nurse's care, including numbers of cases;  kinds of instruction and and quantity of milk delivered. ""Form N-5-1-11-5000, 7-31-11-5000""",New York. New York City.,,,,,,,
12,16,1,Registered Baby (back),12/12/07,12/12/07,JPG,Infants; Health & welfare;,The New York Academy of Medicine,Forms (Documents);,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,13,8,Printed Ephemera of the New York Milk Committee.,English,mk1e024m002.jpg,[1911],"Back of blank printed card for recording information about infant/family attendance at medical consultations and home visits by nurses. ""Form M-6-28-11-5000""",New York. New York City.,back of mk1e024m,mk1e024m,,,postcard,,
