cdmid,child_of,object_type,text,notes,filename
3,14,1,,,4.jpg
4,,0,,,5.jpg
5,,0,,,6.jpg
6,,0,,,7.jpg
7,,0,,,8.jpg
8,,0,,,9.jpg
9,16,1,,,10.jpg
10,14,1,,,11.jpg
11,,0,,,12.jpg
12,16,1,,,13.jpg
13,,0,,,14.jpg
14,,2,,,15.cpd
15,,0,,,16.jpg
16,,2,,,17.cpd
17,,0,,,18.jpg
18,,0,,,19.jpg
19,,0,,,20.jpg
20,,0,,,21.jpg
21,,0,,,22.jpg
22,,0,,,23.jpg
23,,0,,,24.jpg
24,36,1,,,25.jpg
25,36,1,,,26.jpg
26,140,1,"A LETTER TO EXPECTANT MOTHERS<br><br> Dear Mothers:<br> Last year fully five thousand babies died in New York before they were one month old.  They died because they were born too weak to combat the diseases of babyhood.  They were born weak because their mothers did not properly care for themselves during the period of pregnancy; overwork, lack of exercise, in-sufficient or improper nourishment, irregularity in eating and sleeping, worry and nervousness were some of the many causes.<br><br> Every mother desires to have her baby born healthy and strong.  Every baby has right to be so born.  You can do much at this time to insure your baby being born well and strong.  Prepare yourself in advance--be regular in your habits; build yourself up by eating wholesome food; avoid beer, whiskey and drugs; talk to your doctor about yourself, or go to any BABIES' PURE MILK STATION for advice.<br><br> When the time comes for the baby to be born, you must use special care so as not to have your own health or that of your baby impaired.  Remember that one-half of all the blindness in this world is due to improper care of the baby's eyes immediately after birth.<br><br> To avoid having your own health and that of your baby impaired at the time of birth, you will need especial care.  Obtain the best.  It will be worth while.  If you can go to the hospital, do so by all means; there you will receive proper medical and nursing care for yourself and baby.  Select from the list of hospitals given in this circular, the one to which you desire to apply for admission, and make arrangements at least two weeks in advance of the date of confinement. If you cannot leave<br><br> [page break]<br> your home because of other children, go to a ""Blue Front"" BABIES' PURE MILK AND HEALTH STATION for advice; there the nurse will be glad to tell you of hospitals and settlements which will provide medical treatment and nurse services in your own home.  Many agencies will furnish female physicians in desired.  These services can be obtained at a small charge, or free if you cannot afford to pay.<br> Do not forget you owe it to your unborn babe to bring it into the world well and strong. This you can do only if you are willing to learn how.<br><br> [a list of hospitals follows]",,27.jpg
27,58,1,,,28.jpg
28,140,1,,,29.jpg
29,41,1,,,30.jpg
30,,0,,,31.jpg
31,,0,,,32.jpg
32,,0,,,33.jpg
33,,0,,,34.jpg
34,41,1,,,35.jpg
35,41,1,,,36.jpg
36,,2,,,37.cpd
37,40,1,,,38.jpg
38,40,1,"OUT OF TOWN.<br><br>  Summer--and everyone's <br>  out of town,<br>  Fled far from this with-<br>ering heat <br>  That the sun all day sends <br>  sullenly down <br> On sweltering alley and <br>street.<br>  The shutters are up on the <br>  Avenue.<br>   And the houses, so grim <br>  and brown,<br>  Are empty--expect for a <br>  servant or two-<br> For everyone's out of town.<br>  <br>Where the breakers rumble <br>  their thunderous song.<br>   And shower the shore <br>  with spray,<br>  Is gathered the chattering <br>care-free throng <br> That has vanished from <br>  dull Broadway.<br>  The shadowy paths of the <br> woods are bright <br> With many a flashing gown,<br>  And the mountains echo <br>  with laughter light,<br>   For everyone's out of town.<br>  <br>Some hundreds of thous-<br>ands of children still <br> Are breathing the reek-<br> ing air.<br>  And white-faced mothers <br>  and babies grill <br> In each doorway and <br>crowded square.<br>  While grim Disease, thro <br>  the long hot night <br> Walks, sinister, up and <br>  down;<br>  His field is wide and his harvest white,<br>   Though everyone's out <br>  of town.<br><br>  Each hour or two, on the <br>  parched East Side,<br>   In a beautful coach of <br> glass,<br>  Some baby is taking its first <br>  grand ride <br> Toward the trees and the <br>  velvet grass <br>  Far out, where the sun looks more <br>  kindly down,<br>  The wan little fellows are <br>  travelling too,<br>   Like everyone--out of <br>  town.<br><br>  From the Cosmopolitan,<br>  J.J. Montague.<br>",,39.jpg
39,40,1,,,40.jpg
40,,2,,,41.cpd
41,,2,,,42.cpd
42,140,1,,,43.jpg
44,49,1,,Image 3 of 5,45.jpg
45,49,1,,image 1 of 5,46.jpg
46,49,1,,Image 2 of 5,47.jpg
47,49,1,,Image 4 of 5,48.jpg
48,49,1,,Image 5 of 5,49.jpg
49,,2,,,50.cpd
50,60,1,,Image 1 of 2,51.jpg
51,60,1,,Image 2 of 2,52.jpg
53,60,1,,,54.jpg
54,58,1,"Text of interior leaves reads:<br>""HELP FEED THE BOYS<br> ""OVER THERE!<br><br> It's up to YOU and ME and the rest of US to substitute<br> MILK  CREAM<br> BUTTER<br> CHEESE  DRY MILK<br><br> FOR THOSE FOODS SO NECESSARY FOR THE PHYSICAL UPKEEP<br> OF THE FIGHTING MEN AT THE FRONT<br> AND THOSE OF OUR ALLIES""<br><br> You are not asked to make a sacrifice but merely to <br>use more abundantly a food that is more beneficial to your well-being than any other.<br>Milk and milk products are not only the most<br> NOURISHING but the CHEAPEST food on the <br> market to-day.<br><br> Milk is a substitute for other foods. No other food<br> is a substitute for milk.<br><br> Use whole milk. Use skimmed milk. Use butter-<br>milk.  Use every form of good, clean milk.<br><br> In one quart of mik there is as much energy as is <br> contained in three-quarters of a pound of meat.<br><br> The Women of the Nation have it in their power to<br> spread the absolute need of Food Conservation to the end <br> that we can spare not only imperishable foods for the<br> men in the battle line but also boost milk consumption<br> at home to what it was in pre-war times, thereby saving <br>the coming race from physical deterioration.<br><br> Remember, milk is the CHEAPEST food there is,<br> and it has increased LESS in price than any other food.<br><br> [second page] Reasons Why the Consumption of Milk <br> Should be Increased <br><br> From the United States Department of Agriculture<br><br>Milk at......Is as Cheap as Sirloin Steak at......Or Eggs at<br> 10 cents a quart....23.3 cents a pound....25.1 cents a dozen<br>12 cents a quart....27.9 cents a pound....30.2 cents a dozen<br> 15 cents a quart....34.9 cents a pound....37.7 cents a dozen<br><br> AN AUTHORITY <br><br> Professor E. V. McCollum, of Johns Hopkins Uni-<br>versity, says discoveries of the past three years show that <br> there are existing in milk and some other foods two un-<br>known substances which stimulate growth. One of these <br> is found in the fat and the other is found in the water or <br> solution. Their chemical charcter is unknown and they<br> have never been separated from the food materials with <br> which they are associated. Professor McCollum has <br> pointed out that the seeds of plants are good food so far<br> as they go, but they are deficient in these growth-<br>promoting substances, which are found chiefly in the <br>leaves of  all trees and plants. They are found in such<br> leaves as cabbage, lettuce,spinach and cauliflower and <br> above all in milk.Concerning milk and milk products, <br> he says it is not generally appreciated that these articles<br> have a dietary value greater than can be expressed <br> by their protein and energy contents. In experiments <br> on rats, Professors Osborne, Mendel and McCollum have <br> shown that the feeding of butter fat and of milk promotes <br>growth in a remarkable way for the reason that the vita-<br> mines or growth-promoting substances are present in milk <br> in an abundance and in a form which is readily available, <br> as in non other of our common foods.",Document not scanned in entirety due to fragility.,55.jpg
55,57,1,,Image 1 of 2,56.jpg
56,57,1,,Image 2 of 2.  Document not scanned in its entirety due to fragility of paper.,57.jpg
57,,2,,Document not scanned in its entirety due to fragility of paper.,58.cpd
58,,2,,Document not scanned in its entirety due to fragility of paper.  Missing images of interior pages.,59.cpd
60,,2,,,61.cpd
61,65,1,,,62.jpg
62,65,1,,,63.jpg
63,66,1,,,64.jpg
64,66,1,,,65.jpg
65,,2,,,66.cpd
66,,2,,,67.cpd
74,80,1,"A STORY <br>   A story I'm showing <br>  Of mother not know- <br>   ing <br>  And now my story's <br>  begun <br><br>  I'll tell you another <br>  Of lessons to mother <br>  And now my story <br>  is done <br><br>  HOW FACTS ARE RECORDED <br>  Report of Committee on the Reduction of Infant Mortality, July 1-29, 1911 <br>   Babies on hand June 30th... 2003<br>      New babies received...1,620 <br>   Cases terminated...525 <br>    Died...20 <br> Gastro-intestinal diseases...14 <br> Babies on hand July 19th...3,098 <br> Attendance at milk stations...13,518 <br> Mothers instructed first time...2,232 <br> New requests for material relief...127 <br> Milk dispensed (quarts)...54,322 <br> Physicians' consultations...238 <br>",,75.jpg
